题目,文件名,大小（字节）,SHA-256
A题,A题-1-通用神经网络处理器下的核内调度问题.pdf,4017548,F7034863ABDA2444CDE9B51A14C31CDED6282A8EACE906FAA90EDB4F4A087531
A题,A题-2-通用神经网络处理器下的核内调度问题.pdf,4489506,C83C14E555122C1A7D7901F9108073C9B97299793CDF1E0E2581153307FF6A37
A题,A题-面向 Davinci 架构的 NPU 核内调度算法研究.pdf,6272005,42C5FB495EADD637E6A90263675157F5A0D75D868F5ACE69B06D266D86892130
A题,A题-NPU 核内调度算法设计与优化研究.pdf,3117185,9CEFB2C06F81B95F53132FDF9C41407E2CDFF8188A72CC33A21720EA32647BC2
B题,B题-机器学习驱动的面向 MIMO-OFDM 的链路速率预测.pdf,5250945,BF2ACCEF43213E4BF11256E0D351DC7581DD20FF55DB901B1B22B0E4067AC7C8
B题,B题-无线通信系统链路速率建模.pdf,5838726,1384A50B2EA877BDD328D8FA98576AB290FE5B001D147AA637032F6614857961
B题,B题-MIMO-OFDM 链路速率预测问题的建模研究.pdf,6181156,96475AB87A663100500CF7EABA378948142D64544DA6C7756D1601AD3B49881B
C题,C题-1-围岩裂隙精准识别与三维模型重构.pdf,2449760,6F14D27F0371E94857A592C7469EEEC37172009384BDBA8A847C26019E8D96C8
C题,C题-2-围岩裂隙精准识别与三维模型重构.pdf,16111558,BC6529349C3A053B7774731F2FA3E383F6337807FD33954EE7726B04949878FD
C题,C题-3-围岩裂隙精准识别与三维模型重构.pdf,15689836,23DFBDEB5AF6468A92428C0171CCFD569B6571066837DF96B1960F47248B1D1F
C题,C题-基于 Frangi 滤波的钻孔裂隙识别与三维概率重构.pdf,9033829,6F0541DCEF1669D18A2A4626DEF5D216545860E5DD5F3CF5F5891BF983AB1CF2
C题,C题-基于钻孔裂隙智能识别的岩体结构面网络重构与稳定性分区研究.pdf,4447488,B1CDD0EFCCDE759C990A385D0AA613F9E2FE2B7222A60E87452352B9440EBB98
D题,D题-低空湍流监测及最优航路规划研究.pdf,8298451,F1962EFC7D7B929BFCF9BB876656C891D393068BD049D67D6363D9817F0A5D84
D题,D题-基于多源数据融合的低空湍流监测与航路优化.pdf,20092286,ADB0DFF5B17A62A3E6FFA3852C7FE10EF6FA9542FC3B95E34F8A6D9E32F185F1
E题,E题-高速列车轴承智能故障诊断问题.pdf,2757525,BBD2095E8EAC7257FC2852581E7453CE7E01DC1C4B3DA46AC79811FDE7697D08
E题,E题-基于迁移学习的高速列车轴承故障诊断研究.pdf,19870087,1AD142092E24FDFB46A313B2EDB109F35290898BC2BB486DCF9C4D03765413AC
E题,E题-无监督迁移学习下的轴承故障诊断建模与优化.pdf,7694278,4B5875EB3B83395E54D5E8B9D033B045BB2E2EF54F9ADA6A061588B311467EB2
F题,F题-1-江南古典园林的美学特征建模.pdf,18193161,B1132ADBA756118AB037D8AF0AF25CF5CD110E51092288042D5C5AE9B3B72A0C
F题,F题-2-江南古典园林的美学特征建模.pdf,21829195,692C9E30CD2CE0765B17BFBE3A5B1265E32C2DDAE42B636A8AD261090E8B73C1
F题,F题-多模态数据融合视角下江南古典园林美学特征量化建模研究.pdf,10141693,D8E40C2D4765E4C50350715F3E5F739E2A2CE11974664C506A639E921E7AD840
F题,F题-江南古典园林美学特征的量化建模与分析.pdf,30169409,0CD7B0001352DA9A88DC4D70DF750389EB7989D5D2520959E1222A3F05BA2E76
